cultura,nome_científico,família,germinacao_Tmin,germinacao_Totima,germincacao_Tmáxima,vegetacao_Tmin,vegetacao_Toptima,vegetacao_Tmax,tolerancia_salinidade,intervalo_otimp_pH,tolerancia_acidez,solo_preferido,sol_fotoperíodo,clima_ideal _°C,necessidade_hidrica,notas_principais,solo_pref_cat,sol_fotoperiodo_cat,necessidade_hidrica_num,tolerancia_acidez_num,tolerancia_salinidade_num,ph_min,ph_max,sol_min,score_agro
Tomate,Solanum lycopersicum,Solanaceae,10.0,25.0,35.0,10,22.5,35.0,moderada,6.0-6.8,moderada,"Solos férteis, bem drenados, ricos em matéria orgânica, textura franca a franco-arenosa","Planta de dias neutros (não depende fortemente do fotoperíodo), mas precisa de muito sol direto (?6–8h/dia)",21 e 27 °C,,,2.0,,,2.0,2.0,6.0,6.8,6.0,1.0
Alface,Lactuca sativa,Asteraceae,4.0,21.0,28.0,7,17.5,30.0,,"6,0–7,0",moderada,"Solos férteis, bem drenados, ricos em matéria orgânica",10–14 h de luz,15–20 °C,moderada,,,,2.0,2.0,,6.0,7.0,,1.0
Cenoura,Daucus carota,Apiaceae,4.0,22.0,30.0,7,19.0,27.0,,"6,0–6,8",,"Solos soltos, arenosos, profundos, pH 6–6,8",10–12 h,16–22 °C,moderada,,1.0,,2.0,,,6.0,6.8,,1.0
Pepino,Cucumis sativus,Cucurbitaceae,12.0,29.0,35.0,15,26.5,35.0,moderada,"6,0–7,0",,"Solos leves, férteis, bem drenados",12–14 h,20–28 °C,,,,,,,2.0,6.0,7.0,,1.0
Pimento,Capsicum annuum,Solanaceae,15.0,27.5,35.0,15,25.0,35.0,moderada,"6,0–7,0",moderada,"Solos francos, férteis, pH 6–7",12–14 h,20–30 °C,moderada,,2.0,,2.0,2.0,2.0,6.0,7.0,,1.0
Courgette,Cucurbita pepo,Cucurbitaceae,12.0,29.0,35.0,15,22.5,35.0,moderada,"6,0–7,5",,"Solos leves, férteis, ricos em MO",12–14 h,18–25 °C,moderada,,,,2.0,,2.0,6.0,7.5,,1.0
Nabo,Brassica rapa var. rapa,Brassicaceae,5.0,22.5,30.0,7,17.5,27.0,,"6,0–7,5",moderada,"Solos frescos, francos, férteis",10–12 h,10–18 °C,moderada,,2.0,,2.0,2.0,,6.0,7.5,,1.0
Acelga,Beta vulgaris var. cicla,Amaranthaceae,5.0,22.5,30.0,7,17.5,30.0,moderada,"6,0–7,5",moderada,"Solos profundos, húmidos, pH 6–7,5",10–12 h,15–20 °C,moderada,,,,2.0,2.0,2.0,6.0,7.5,,1.0
Pimpinela (Chuchu),Sechium edule,Cucurbitaceae,18.0,26.5,35.0,15,24.0,35.0,moderada,"5,5–6,5",,"Solos profundos, húmidos, ricos em MO",12–14 h,18–25 °C,,,,,,,2.0,5.5,6.5,,1.0
Maçã,Malus domestica,Rosaceae,,17.5,25.0,7,20.0,30.0,,"5,5–7,0",moderada,"franco-arenoso a franco-argiloso, profundo, fértil, bem drenado.",pleno sol (? 6–8 h),18–24 °C,moderada,,1.0,3.0,2.0,2.0,,5.5,7.0,,1.0
Cereja,Prunus avium,Rosaceae,,17.5,25.0,7,19.0,30.0,,"6,0–7,5",moderada,"franco-argiloso, fértil, profundo",pleno sol (? 6 h),15–25 °C,moderada,,2.0,3.0,2.0,2.0,,6.0,7.5,,1.0
Tangerina,Citrus reticulata,Rutaceae,12.0,26.5,35.0,12,24.0,35.0,moderada,"5,5–7,0",moderada,"franco-arenoso a franco-argiloso, fértil, profundo",pleno sol (? 8 h),20–30 °C,moderada,,1.0,3.0,2.0,2.0,2.0,5.5,7.0,,1.0
Limão,Citrus limon,Rutaceae,12.0,26.5,35.0,12,24.0,35.0,moderada,"5,5–7,0",moderada,"franco-arenoso, profundo, fértil",pleno sol (? 8 h),20–30 °C,,,1.0,3.0,,2.0,2.0,5.5,7.0,,1.0
Abacate,Persea americana,Lauraceae,15.0,26.5,35.0,12,22.5,35.0,moderada,"5,5–7,0",moderada,"franco-arenoso a franco-argiloso, bem drenado",pleno sol (? 6–8 h),18–26 °C,moderada,,1.0,3.0,2.0,2.0,2.0,5.5,7.0,,1.0
Anona,Annona cherimola,Annonaceae,15.0,26.5,35.0,12,22.5,35.0,,"5,5–7,0",moderada,"franco-arenoso, fértil, profundo, bem drenado.",pleno sol (? 6 h),18–26 °C,moderada,,1.0,3.0,2.0,2.0,,5.5,7.0,,1.0
Uva (Vitis),Vitis vinifera,Vitaceae,10.0,26.5,35.0,10,24.0,35.0,moderada,"6,0–7,5",,"Pobres, pedregosos, bem drenados",Pleno sol (? 8h),18–25 °C,baixa,,,3.0,1.0,,2.0,6.0,7.5,8.0,0.75
Inhame,Colocasia esculenta,Araceae,20.0,27.5,35.0,18,27.5,35.0,,"5,5–6,5",,"Solos argilo-arenosos, húmidos, bem drenados",12 h,25–30 °C,,,1.0,,,,,5.5,6.5,,1.0
